# z[m]	| T [degC]
0.124556	|19.371788
0.124668	|19.373018
0.124780	|19.374247
0.124892	|19.375476
0.125005	|19.376705
0.125117	|19.377934
0.125229	|19.379163
0.125341	|19.380393
0.125453	|19.381622
0.125565	|19.382851
0.125677	|19.384080
0.125789	|19.385309
0.125901	|19.386538
0.126013	|19.387767
0.126125	|19.388996
0.126237	|19.390226
0.126349	|19.391455
0.126461	|19.392684
0.126573	|19.393913
0.126685	|19.395142
0.126797	|19.396371
0.126909	|19.397600
0.127021	|19.398829
0.127133	|19.400058
0.127245	|19.401287
0.127357	|19.402516
0.127469	|19.403745
0.127581	|19.404974
0.127693	|19.406203
0.127805	|19.407432
0.127917	|19.408661
0.128029	|19.409890
0.128141	|19.411119
0.128253	|19.412348
0.128365	|19.413577
0.128477	|19.414806
0.128589	|19.416035
0.128701	|19.417264
0.128813	|19.418492
0.128925	|19.419721
0.129037	|19.420950
0.129149	|19.422179
0.129261	|19.423408
0.129373	|19.424637
0.129485	|19.425866
0.129597	|19.427095
0.129709	|19.428323
0.129821	|19.429552
0.129933	|19.430781
0.130045	|19.432010
0.130157	|19.433239
0.130269	|19.434468
0.130381	|19.435696
0.130493	|19.436925
0.130605	|19.438154
0.130717	|19.439383
0.130829	|19.440611
0.130941	|19.441840
0.131053	|19.443069
0.131165	|19.444298
0.131277	|19.445526
0.131389	|19.446755
0.131501	|19.447984
0.131613	|19.449213
0.131725	|19.450441
0.131837	|19.451670
0.131949	|19.452899
0.132061	|19.454127
0.132173	|19.455356
0.132285	|19.456585
0.132397	|19.457813
0.132509	|19.459042
0.132621	|19.460271
0.132733	|19.461499
0.132845	|19.462728
0.132957	|19.463957
0.133069	|19.465185
0.133181	|19.466414
0.133293	|19.467642
0.133405	|19.468871
0.133517	|19.470100
0.133629	|19.471328
0.133741	|19.472557
0.133853	|19.473785
0.133965	|19.475014
0.134077	|19.476242
0.134189	|19.477471
0.134301	|19.478699
0.134413	|19.479928
0.134525	|19.481156
0.134637	|19.482385
0.134749	|19.483613
0.134861	|19.484842
0.134973	|19.486070
0.135086	|19.487299
0.135198	|19.488527
0.135310	|19.489756
0.135422	|19.490984
0.135534	|19.492213
0.135646	|19.493441
0.135758	|19.494669
0.135870	|19.495898
0.135982	|19.497126
0.136094	|19.498355
0.136206	|19.499583
0.136318	|19.500811
0.136430	|19.502040
0.136542	|19.503268
0.136654	|19.504497
0.136766	|19.505725
0.136878	|19.506953
0.136990	|19.508182
0.137102	|19.509410
0.137214	|19.510638
0.137326	|19.511867
0.137438	|19.513095
0.137550	|19.514323
0.137662	|19.515551
0.137774	|19.516780
0.137886	|19.518008
0.137998	|19.519236
0.138110	|19.520464
0.138222	|19.521693
0.138334	|19.522921
0.138446	|19.524149
0.138558	|19.525377
0.138670	|19.526606
0.138782	|19.527834
0.138894	|19.529062
0.139006	|19.530290
0.139118	|19.531518
0.139230	|19.532747
0.139342	|19.533975
0.139454	|19.535203
0.139566	|19.536431
0.139678	|19.537659
0.139790	|19.538887
0.139902	|19.540116
0.140014	|19.541344
0.140126	|19.542572
0.140238	|19.543800
0.140350	|19.545028
0.140462	|19.546256
0.140574	|19.547484
0.140686	|19.548712
0.140798	|19.549940
0.140910	|19.551168
0.141022	|19.552396
0.141134	|19.553624
0.141246	|19.554852
0.141358	|19.556080
0.141470	|19.557309
0.141582	|19.558537
0.141694	|19.559765
0.141806	|19.560993
