#z [m]	|p [pa]
0.843668	|803345.494926
0.843780	|803345.551992
0.843892	|803345.609058
0.844004	|803345.666123
0.844116	|803345.723189
0.844228	|803345.780254
0.844340	|803345.837319
0.844452	|803345.894383
0.844564	|803345.951447
0.844676	|803346.008511
0.844788	|803346.065574
0.844900	|803346.122638
0.845013	|803346.179701
0.845125	|803346.236763
0.845237	|803346.293825
0.845349	|803346.350887
0.845461	|803346.407949
0.845573	|803346.465010
0.845685	|803346.522071
0.845797	|803346.579132
0.845909	|803346.636193
0.846021	|803346.693253
0.846133	|803346.750313
0.846245	|803346.807372
0.846357	|803346.864431
0.846469	|803346.921490
0.846581	|803346.978549
0.846693	|803347.035607
0.846805	|803347.092665
0.846917	|803347.149723
0.847029	|803347.206780
0.847141	|803347.263837
0.847253	|803347.320894
0.847365	|803347.377950
0.847477	|803347.435007
0.847589	|803347.492062
0.847701	|803347.549118
0.847813	|803347.606173
0.847925	|803347.663228
0.848037	|803347.720283
0.848149	|803347.777337
0.848261	|803347.834391
0.848373	|803347.891445
0.848485	|803347.948498
0.848597	|803348.005551
0.848709	|803348.062604
0.848821	|803348.119656
0.848933	|803348.176708
0.849045	|803348.233760
0.849157	|803348.290812
0.849269	|803348.347863
0.849381	|803348.404914
0.849493	|803348.461964
0.849605	|803348.519015
0.849717	|803348.576065
0.849829	|803348.633114
0.849941	|803348.690164
0.850053	|803348.747213
0.850165	|803348.804262
0.850277	|803348.861310
0.850389	|803348.918358
0.850501	|803348.975406
0.850613	|803349.032454
0.850725	|803349.089501
0.850837	|803349.146548
0.850949	|803349.203594
0.851061	|803349.260641
0.851173	|803349.317687
0.851285	|803349.374732
0.851397	|803349.431778
0.851509	|803349.488823
0.851621	|803349.545868
0.851733	|803349.602912
0.851845	|803349.659956
0.851957	|803349.717000
0.852069	|803349.774044
0.852181	|803349.831087
0.852293	|803349.888130
0.852405	|803349.945172
0.852517	|803350.002215
0.852629	|803350.059257
0.852741	|803350.116298
0.852853	|803350.173340
0.852965	|803350.230381
0.853077	|803350.287422
0.853189	|803350.344462
0.853301	|803350.401502
0.853413	|803350.458542
0.853525	|803350.515582
0.853637	|803350.572621
0.853749	|803350.629660
0.853861	|803350.686699
0.853973	|803350.743737
0.854085	|803350.800775
0.854197	|803350.857813
0.854309	|803350.914850
0.854421	|803350.971887
0.854533	|803351.028924
0.854645	|803351.085960
0.854757	|803351.142997
0.854869	|803351.200032
0.854981	|803351.257068
0.855094	|803351.314103
0.855206	|803351.371138
0.855318	|803351.428173
0.855430	|803351.485207
0.855542	|803351.542241
0.855654	|803351.599275
0.855766	|803351.656308
0.855878	|803351.713341
0.855990	|803351.770374
0.856102	|803351.827407
0.856214	|803351.884439
0.856326	|803351.941471
0.856438	|803351.998502
0.856550	|803352.055534
0.856662	|803352.112565
0.856774	|803352.169595
0.856886	|803352.226626
0.856998	|803352.283656
0.857110	|803352.340685
0.857222	|803352.397715
0.857334	|803352.454744
0.857446	|803352.511773
0.857558	|803352.568801
0.857670	|803352.625830
0.857782	|803352.682857
0.857894	|803352.739885
0.858006	|803352.796912
0.858118	|803352.853939
0.858230	|803352.910966
0.858342	|803352.967992
0.858454	|803353.025018
0.858566	|803353.082044
0.858678	|803353.139070
0.858790	|803353.196095
0.858902	|803353.253120
0.859014	|803353.310144
0.859126	|803353.367168
0.859238	|803353.424192
0.859350	|803353.481216
0.859462	|803353.538239
0.859574	|803353.595262
0.859686	|803353.652285
0.859798	|803353.709307
0.859910	|803353.766329
0.860022	|803353.823351
0.860134	|803353.880372
0.860246	|803353.937394
0.860358	|803353.994414
0.860470	|803354.051435
0.860582	|803354.108455
0.860694	|803354.165475
0.860806	|803354.222495
0.860918	|803354.279514
0.861030	|803354.336533
0.861142	|803354.393552
0.861254	|803354.450570
0.861366	|803354.507588
0.861478	|803354.564606
0.861590	|803354.621623
0.861702	|803354.678641
0.861814	|803354.735658
0.861926	|803354.792674
0.862038	|803354.849690
0.862150	|803354.906706
0.862262	|803354.963722
0.862374	|803355.020737
0.862486	|803355.077752
0.862598	|803355.134767
0.862710	|803355.191781
0.862822	|803355.248795
0.862934	|803355.305809
0.863046	|803355.362823
0.863158	|803355.419836
0.863270	|803355.476849
0.863382	|803355.533861
0.863494	|803355.590874
0.863606	|803355.647886
0.863718	|803355.704897
0.863830	|803355.761909
0.863942	|803355.818920
0.864054	|803355.875930
0.864166	|803355.932941
0.864278	|803355.989951
0.864390	|803356.046961
0.864502	|803356.103970
0.864614	|803356.160979
0.864726	|803356.217988
0.864838	|803356.274997
0.864950	|803356.332005
0.865063	|803356.389013
0.865175	|803356.446021
0.865287	|803356.503028
0.865399	|803356.560035
0.865511	|803356.617042
0.865623	|803356.674049
0.865735	|803356.731055
0.865847	|803356.788060
0.865959	|803356.845066
0.866071	|803356.902071
0.866183	|803356.959076
0.866295	|803357.016081
0.866407	|803357.073085
0.866519	|803357.130089
0.866631	|803357.187093
0.866743	|803357.244096
0.866855	|803357.301099
0.866967	|803357.358102
0.867079	|803357.415104
0.867191	|803357.472107
0.867303	|803357.529108
0.867415	|803357.586110
0.867527	|803357.643111
0.867639	|803357.700112
0.867751	|803357.757113
0.867863	|803357.814113
0.867975	|803357.871113
0.868087	|803357.928113
0.868199	|803357.985112
0.868311	|803358.042111
0.868423	|803358.099110
0.868535	|803358.156109
0.868647	|803358.213107
0.868759	|803358.270105
0.868871	|803358.327102
0.868983	|803358.384100
0.869095	|803358.441096
0.869207	|803358.498093
0.869319	|803358.555089
0.869431	|803358.612086
0.869543	|803358.669081
0.869655	|803358.726077
0.869767	|803358.783072
0.869879	|803358.840067
0.869991	|803358.897061
0.870103	|803358.954055
0.870215	|803359.011049
0.870327	|803359.068043
0.870439	|803359.125036
0.870551	|803359.182029
0.870663	|803359.239022
0.870775	|803359.296014
0.870887	|803359.353006
0.870999	|803359.409998
0.871111	|803359.466989
0.871223	|803359.523981
0.871335	|803359.580971
0.871447	|803359.637962
0.871559	|803359.694952
0.871671	|803359.751942
0.871783	|803359.808932
0.871895	|803359.865921
0.872007	|803359.922910
0.872119	|803359.979899
0.872231	|803360.036887
0.872343	|803360.093875
0.872455	|803360.150863
0.872567	|803360.207850
0.872679	|803360.264838
0.872791	|803360.321824
0.872903	|803360.378811
0.873015	|803360.435797
0.873127	|803360.492783
0.873239	|803360.549769
0.873351	|803360.606754
0.873463	|803360.663739
0.873575	|803360.720724
0.873687	|803360.777708
0.873799	|803360.834692
0.873911	|803360.891676
0.874023	|803360.948660
0.874135	|803361.005643
0.874247	|803361.062626
0.874359	|803361.119608
0.874471	|803361.176591
0.874583	|803361.233573
0.874695	|803361.290554
0.874807	|803361.347536
0.874919	|803361.404517
0.875032	|803361.461497
0.875144	|803361.518478
0.875256	|803361.575458
0.875368	|803361.632438
0.875480	|803361.689417
0.875592	|803361.746397
0.875704	|803361.803375
0.875816	|803361.860354
0.875928	|803361.917332
0.876040	|803361.974310
0.876152	|803362.031288
0.876264	|803362.088265
0.876376	|803362.145243
0.876488	|803362.202219
0.876600	|803362.259196
0.876712	|803362.316172
0.876824	|803362.373148
0.876936	|803362.430123
0.877048	|803362.487099
0.877160	|803362.544073
0.877272	|803362.601048
0.877384	|803362.658022
0.877496	|803362.714996
0.877608	|803362.771970
0.877720	|803362.828944
0.877832	|803362.885917
0.877944	|803362.942889
0.878056	|803362.999862
0.878168	|803363.056834
0.878280	|803363.113806
0.878392	|803363.170778
0.878504	|803363.227749
0.878616	|803363.284720
0.878728	|803363.341691
0.878840	|803363.398661
0.878952	|803363.455631
0.879064	|803363.512601
0.879176	|803363.569570
0.879288	|803363.626539
0.879400	|803363.683508
0.879512	|803363.740477
0.879624	|803363.797445
0.879736	|803363.854413
0.879848	|803363.911380
0.879960	|803363.968348
0.880072	|803364.025315
0.880184	|803364.082281
0.880296	|803364.139248
0.880408	|803364.196214
0.880520	|803364.253180
0.880632	|803364.310145
0.880744	|803364.367110
0.880856	|803364.424075
0.880968	|803364.481040
0.881080	|803364.538004
0.881192	|803364.594968
0.881304	|803364.651931
0.881416	|803364.708895
0.881528	|803364.765858
0.881640	|803364.822821
0.881752	|803364.879783
0.881864	|803364.936745
0.881976	|803364.993707
0.882088	|803365.050668
0.882200	|803365.107630
0.882312	|803365.164590
0.882424	|803365.221551
0.882536	|803365.278511
0.882648	|803365.335471
0.882760	|803365.392431
0.882872	|803365.449390
0.882984	|803365.506349
0.883096	|803365.563308
0.883208	|803365.620267
0.883320	|803365.677225
0.883432	|803365.734182
0.883544	|803365.791140
0.883656	|803365.848097
0.883768	|803365.905054
0.883880	|803365.962011
0.883992	|803366.018967
0.884104	|803366.075923
0.884216	|803366.132879
0.884328	|803366.189834
0.884440	|803366.246789
0.884552	|803366.303744
0.884664	|803366.360699
0.884776	|803366.417653
0.884888	|803366.474607
0.885001	|803366.531560
0.885113	|803366.588513
0.885225	|803366.645466
0.885337	|803366.702419
0.885449	|803366.759371
0.885561	|803366.816323
0.885673	|803366.873275
0.885785	|803366.930227
0.885897	|803366.987178
0.886009	|803367.044128
0.886121	|803367.101079
0.886233	|803367.158029
0.886345	|803367.214979
0.886457	|803367.271929
0.886569	|803367.328878
0.886681	|803367.385827
0.886793	|803367.442776
0.886905	|803367.499724
0.887017	|803367.556672
0.887129	|803367.613620
0.887241	|803367.670567
0.887353	|803367.727514
0.887465	|803367.784461
0.887577	|803367.841408
0.887689	|803367.898354
0.887801	|803367.955300
0.887913	|803368.012246
0.888025	|803368.069191
0.888137	|803368.126136
0.888249	|803368.183081
0.888361	|803368.240025
0.888473	|803368.296969
0.888585	|803368.353913
0.888697	|803368.410857
0.888809	|803368.467800
0.888921	|803368.524743
0.889033	|803368.581685
0.889145	|803368.638627
0.889257	|803368.695569
0.889369	|803368.752511
0.889481	|803368.809452
0.889593	|803368.866394
0.889705	|803368.923334
0.889817	|803368.980275
0.889929	|803369.037215
0.890041	|803369.094155
0.890153	|803369.151094
0.890265	|803369.208033
0.890377	|803369.264972
0.890489	|803369.321911
0.890601	|803369.378849
0.890713	|803369.435787
0.890825	|803369.492725
0.890937	|803369.549662
0.891049	|803369.606600
0.891161	|803369.663536
0.891273	|803369.720473
0.891385	|803369.777409
0.891497	|803369.834345
0.891609	|803369.891280
0.891721	|803369.948216
0.891833	|803370.005151
0.891945	|803370.062085
0.892057	|803370.119020
0.892169	|803370.175954
0.892281	|803370.232887
0.892393	|803370.289821
0.892505	|803370.346754
0.892617	|803370.403687
0.892729	|803370.460619
0.892841	|803370.517552
0.892953	|803370.574483
0.893065	|803370.631415
0.893177	|803370.688346
0.893289	|803370.745277
0.893401	|803370.802208
0.893513	|803370.859138
0.893625	|803370.916069
0.893737	|803370.972998
0.893849	|803371.029928
0.893961	|803371.086857
0.894073	|803371.143786
0.894185	|803371.200714
0.894297	|803371.257643
0.894409	|803371.314571
0.894521	|803371.371498
0.894633	|803371.428426
0.894745	|803371.485353
0.894857	|803371.542279
0.894969	|803371.599206
0.895082	|803371.656132
0.895194	|803371.713058
0.895306	|803371.769983
0.895418	|803371.826908
0.895530	|803371.883833
0.895642	|803371.940758
0.895754	|803371.997682
0.895866	|803372.054606
0.895978	|803372.111530
0.896090	|803372.168453
0.896202	|803372.225376
0.896314	|803372.282299
0.896426	|803372.339222
0.896538	|803372.396144
0.896650	|803372.453066
0.896762	|803372.509987
0.896874	|803372.566908
0.896986	|803372.623829
0.897098	|803372.680750
0.897210	|803372.737670
0.897322	|803372.794590
0.897434	|803372.851510
0.897546	|803372.908430
0.897658	|803372.965349
0.897770	|803373.022268
0.897882	|803373.079186
0.897994	|803373.136104
0.898106	|803373.193022
0.898218	|803373.249940
0.898330	|803373.306857
0.898442	|803373.363774
0.898554	|803373.420691
0.898666	|803373.477607
0.898778	|803373.534523
0.898890	|803373.591439
0.899002	|803373.648354
0.899114	|803373.705270
0.899226	|803373.762184
0.899338	|803373.819099
0.899450	|803373.876013
0.899562	|803373.932927
0.899674	|803373.989841
0.899786	|803374.046754
0.899898	|803374.103667
0.900010	|803374.160580
0.900122	|803374.217492
0.900234	|803374.274404
0.900346	|803374.331316
0.900458	|803374.388228
0.900570	|803374.445139
0.900682	|803374.502050
0.900794	|803374.558960
0.900906	|803374.615871
0.901018	|803374.672781
0.901130	|803374.729690
0.901242	|803374.786600
0.901354	|803374.843509
0.901466	|803374.900418
0.901578	|803374.957326
0.901690	|803375.014234
0.901802	|803375.071142
0.901914	|803375.128050
0.902026	|803375.184957
0.902138	|803375.241864
0.902250	|803375.298771
0.902362	|803375.355677
0.902474	|803375.412583
0.902586	|803375.469489
0.902698	|803375.526394
0.902810	|803375.583299
0.902922	|803375.640204
0.903034	|803375.697108
0.903146	|803375.754013
0.903258	|803375.810917
0.903370	|803375.867820
0.903482	|803375.924723
0.903594	|803375.981626
0.903706	|803376.038529
0.903818	|803376.095432
0.903930	|803376.152334
0.904042	|803376.209235
0.904154	|803376.266137
0.904266	|803376.323038
0.904378	|803376.379939
0.904490	|803376.436839
0.904602	|803376.493740
0.904714	|803376.550640
0.904826	|803376.607539
0.904938	|803376.664439
0.905051	|803376.721338
0.905163	|803376.778236
0.905275	|803376.835135
0.905387	|803376.892033
0.905499	|803376.948931
0.905611	|803377.005828
0.905723	|803377.062726
0.905835	|803377.119622
0.905947	|803377.176519
0.906059	|803377.233415
0.906171	|803377.290311
0.906283	|803377.347207
0.906395	|803377.404102
0.906507	|803377.460998
0.906619	|803377.517892
0.906731	|803377.574787
0.906843	|803377.631681
0.906955	|803377.688575
0.907067	|803377.745468
0.907179	|803377.802362
0.907291	|803377.859255
0.907403	|803377.916147
0.907515	|803377.973040
0.907627	|803378.029932
0.907739	|803378.086823
0.907851	|803378.143715
0.907963	|803378.200606
0.908075	|803378.257497
0.908187	|803378.314387
0.908299	|803378.371278
0.908411	|803378.428167
0.908523	|803378.485057
0.908635	|803378.541946
0.908747	|803378.598835
0.908859	|803378.655724
0.908971	|803378.712613
0.909083	|803378.769501
0.909195	|803378.826388
0.909307	|803378.883276
0.909419	|803378.940163
0.909531	|803378.997050
0.909643	|803379.053937
0.909755	|803379.110823
0.909867	|803379.167709
0.909979	|803379.224594
0.910091	|803379.281480
0.910203	|803379.338365
0.910315	|803379.395250
0.910427	|803379.452134
0.910539	|803379.509018
0.910651	|803379.565902
0.910763	|803379.622786
0.910875	|803379.679669
0.910987	|803379.736552
0.911099	|803379.793434
0.911211	|803379.850317
0.911323	|803379.907199
0.911435	|803379.964080
0.911547	|803380.020962
0.911659	|803380.077843
0.911771	|803380.134724
0.911883	|803380.191604
0.911995	|803380.248484
0.912107	|803380.305364
0.912219	|803380.362244
0.912331	|803380.419123
0.912443	|803380.476002
0.912555	|803380.532881
0.912667	|803380.589759
0.912779	|803380.646637
0.912891	|803380.703515
0.913003	|803380.760393
0.913115	|803380.817270
0.913227	|803380.874147
0.913339	|803380.931023
0.913451	|803380.987899
0.913563	|803381.044775
0.913675	|803381.101651
0.913787	|803381.158526
0.913899	|803381.215401
0.914011	|803381.272276
0.914123	|803381.329151
0.914235	|803381.386025
0.914347	|803381.442899
0.914459	|803381.499772
0.914571	|803381.556645
0.914683	|803381.613518
0.914795	|803381.670391
0.914907	|803381.727263
0.915020	|803381.784135
0.915132	|803381.841007
0.915244	|803381.897878
0.915356	|803381.954749
0.915468	|803382.011620
0.915580	|803382.068491
0.915692	|803382.125361
0.915804	|803382.182231
0.915916	|803382.239100
0.916028	|803382.295969
0.916140	|803382.352838
0.916252	|803382.409707
0.916364	|803382.466575
0.916476	|803382.523443
0.916588	|803382.580311
0.916700	|803382.637179
0.916812	|803382.694046
0.916924	|803382.750913
0.917036	|803382.807779
0.917148	|803382.864645
0.917260	|803382.921511
0.917372	|803382.978377
0.917484	|803383.035242
0.917596	|803383.092107
0.917708	|803383.148972
0.917820	|803383.205836
0.917932	|803383.262701
0.918044	|803383.319564
0.918156	|803383.376428
0.918268	|803383.433291
0.918380	|803383.490154
0.918492	|803383.547017
0.918604	|803383.603879
0.918716	|803383.660741
0.918828	|803383.717603
0.918940	|803383.774464
0.919052	|803383.831325
0.919164	|803383.888186
0.919276	|803383.945046
0.919388	|803384.001906
0.919500	|803384.058766
0.919612	|803384.115626
0.919724	|803384.172485
0.919836	|803384.229344
0.919948	|803384.286203
0.920060	|803384.343061
0.920172	|803384.399919
0.920284	|803384.456777
0.920396	|803384.513634
0.920508	|803384.570491
0.920620	|803384.627348
0.920732	|803384.684205
0.920844	|803384.741061
0.920956	|803384.797917
0.921068	|803384.854773
0.921180	|803384.911628
0.921292	|803384.968483
0.921404	|803385.025338
0.921516	|803385.082192
0.921628	|803385.139046
0.921740	|803385.195900
0.921852	|803385.252753
0.921964	|803385.309607
0.922076	|803385.366460
0.922188	|803385.423312
0.922300	|803385.480164
0.922412	|803385.537016
0.922524	|803385.593868
0.922636	|803385.650719
0.922748	|803385.707571
0.922860	|803385.764421
0.922972	|803385.821272
0.923084	|803385.878122
0.923196	|803385.934972
0.923308	|803385.991821
0.923420	|803386.048671
0.923532	|803386.105520
0.923644	|803386.162368
0.923756	|803386.219217
0.923868	|803386.276065
0.923980	|803386.332912
0.924092	|803386.389760
0.924204	|803386.446607
0.924316	|803386.503454
0.924428	|803386.560300
0.924540	|803386.617146
0.924652	|803386.673992
0.924764	|803386.730838
0.924876	|803386.787683
0.924988	|803386.844528
0.925101	|803386.901373
0.925213	|803386.958217
0.925325	|803387.015062
0.925437	|803387.071905
0.925549	|803387.128749
0.925661	|803387.185592
0.925773	|803387.242435
0.925885	|803387.299278
0.925997	|803387.356120
0.926109	|803387.412962
0.926221	|803387.469803
0.926333	|803387.526645
0.926445	|803387.583486
0.926557	|803387.640327
0.926669	|803387.697167
0.926781	|803387.754007
0.926893	|803387.810847
0.927005	|803387.867687
0.927117	|803387.924526
0.927229	|803387.981365
0.927341	|803388.038204
0.927453	|803388.095042
0.927565	|803388.151880
0.927677	|803388.208718
0.927789	|803388.265555
0.927901	|803388.322392
0.928013	|803388.379229
0.928125	|803388.436066
0.928237	|803388.492902
0.928349	|803388.549738
0.928461	|803388.606573
0.928573	|803388.663409
0.928685	|803388.720244
0.928797	|803388.777079
0.928909	|803388.833913
0.929021	|803388.890747
0.929133	|803388.947581
0.929245	|803389.004414
0.929357	|803389.061248
0.929469	|803389.118080
0.929581	|803389.174913
0.929693	|803389.231745
0.929805	|803389.288577
0.929917	|803389.345409
0.930029	|803389.402240
0.930141	|803389.459072
0.930253	|803389.515902
0.930365	|803389.572733
0.930477	|803389.629563
0.930589	|803389.686393
0.930701	|803389.743222
0.930813	|803389.800052
0.930925	|803389.856881
0.931037	|803389.913709
0.931149	|803389.970538
0.931261	|803390.027366
0.931373	|803390.084193
0.931485	|803390.141021
0.931597	|803390.197848
0.931709	|803390.254675
0.931821	|803390.311501
0.931933	|803390.368328
0.932045	|803390.425154
0.932157	|803390.481979
0.932269	|803390.538805
0.932381	|803390.595630
0.932493	|803390.652454
0.932605	|803390.709279
0.932717	|803390.766103
0.932829	|803390.822927
0.932941	|803390.879750
0.933053	|803390.936573
0.933165	|803390.993396
0.933277	|803391.050219
0.933389	|803391.107041
0.933501	|803391.163863
0.933613	|803391.220685
0.933725	|803391.277506
0.933837	|803391.334327
0.933949	|803391.391148
0.934061	|803391.447969
0.934173	|803391.504789
0.934285	|803391.561609
0.934397	|803391.618428
0.934509	|803391.675248
0.934621	|803391.732067
0.934733	|803391.788885
0.934845	|803391.845704
0.934957	|803391.902522
0.935070	|803391.959340
0.935182	|803392.016157
0.935294	|803392.072974
0.935406	|803392.129791
0.935518	|803392.186608
0.935630	|803392.243424
0.935742	|803392.300240
0.935854	|803392.357055
0.935966	|803392.413871
0.936078	|803392.470686
0.936190	|803392.527501
0.936302	|803392.584315
0.936414	|803392.641129
0.936526	|803392.697943
0.936638	|803392.754757
0.936750	|803392.811570
0.936862	|803392.868383
0.936974	|803392.925195
0.937086	|803392.982008
0.937198	|803393.038820
0.937310	|803393.095631
0.937422	|803393.152443
0.937534	|803393.209254
0.937646	|803393.266065
0.937758	|803393.322875
0.937870	|803393.379686
0.937982	|803393.436495
0.938094	|803393.493305
0.938206	|803393.550114
0.938318	|803393.606923
0.938430	|803393.663732
0.938542	|803393.720540
0.938654	|803393.777349
0.938766	|803393.834156
0.938878	|803393.890964
0.938990	|803393.947771
0.939102	|803394.004578
0.939214	|803394.061384
0.939326	|803394.118191
0.939438	|803394.174997
0.939550	|803394.231802
0.939662	|803394.288608
0.939774	|803394.345413
0.939886	|803394.402218
0.939998	|803394.459022
0.940110	|803394.515826
0.940222	|803394.572630
0.940334	|803394.629434
0.940446	|803394.686237
0.940558	|803394.743040
0.940670	|803394.799843
0.940782	|803394.856645
0.940894	|803394.913447
0.941006	|803394.970249
0.941118	|803395.027050
0.941230	|803395.083851
0.941342	|803395.140652
0.941454	|803395.197453
0.941566	|803395.254253
0.941678	|803395.311053
0.941790	|803395.367853
0.941902	|803395.424652
0.942014	|803395.481451
0.942126	|803395.538250
0.942238	|803395.595048
0.942350	|803395.651846
0.942462	|803395.708644
0.942574	|803395.765441
0.942686	|803395.822239
0.942798	|803395.879036
0.942910	|803395.935832
0.943022	|803395.992629
0.943134	|803396.049425
0.943246	|803396.106220
0.943358	|803396.163016
0.943470	|803396.219811
0.943582	|803396.276606
0.943694	|803396.333400
0.943806	|803396.390194
0.943918	|803396.446988
0.944030	|803396.503782
0.944142	|803396.560575
0.944254	|803396.617368
0.944366	|803396.674161
0.944478	|803396.730953
0.944590	|803396.787745
0.944702	|803396.844537
0.944814	|803396.901328
0.944926	|803396.958120
0.945039	|803397.014911
0.945151	|803397.071701
0.945263	|803397.128491
0.945375	|803397.185281
0.945487	|803397.242071
0.945599	|803397.298860
0.945711	|803397.355649
0.945823	|803397.412438
0.945935	|803397.469227
0.946047	|803397.526015
0.946159	|803397.582803
0.946271	|803397.639590
0.946383	|803397.696378
0.946495	|803397.753164
0.946607	|803397.809951
0.946719	|803397.866737
0.946831	|803397.923524
0.946943	|803397.980309
0.947055	|803398.037095
0.947167	|803398.093880
0.947279	|803398.150665
0.947391	|803398.207449
0.947503	|803398.264233
0.947615	|803398.321017
0.947727	|803398.377801
0.947839	|803398.434584
0.947951	|803398.491367
0.948063	|803398.548150
0.948175	|803398.604933
0.948287	|803398.661715
0.948399	|803398.718497
0.948511	|803398.775278
0.948623	|803398.832059
0.948735	|803398.888840
0.948847	|803398.945621
0.948959	|803399.002401
0.949071	|803399.059181
0.949183	|803399.115961
0.949295	|803399.172740
0.949407	|803399.229519
0.949519	|803399.286298
0.949631	|803399.343077
0.949743	|803399.399855
0.949855	|803399.456633
0.949967	|803399.513410
0.950079	|803399.570188
0.950191	|803399.626965
0.950303	|803399.683741
0.950415	|803399.740518
0.950527	|803399.797294
0.950639	|803399.854070
0.950751	|803399.910845
0.950863	|803399.967620
0.950975	|803400.024395
0.951087	|803400.081170
0.951199	|803400.137944
0.951311	|803400.194718
0.951423	|803400.251492
0.951535	|803400.308265
0.951647	|803400.365038
0.951759	|803400.421811
0.951871	|803400.478583
0.951983	|803400.535356
0.952095	|803400.592127
0.952207	|803400.648899
0.952319	|803400.705670
0.952431	|803400.762441
0.952543	|803400.819212
0.952655	|803400.875982
0.952767	|803400.932752
0.952879	|803400.989522
0.952991	|803401.046292
0.953103	|803401.103061
0.953215	|803401.159830
0.953327	|803401.216598
0.953439	|803401.273366
0.953551	|803401.330134
0.953663	|803401.386902
0.953775	|803401.443669
0.953887	|803401.500436
0.953999	|803401.557203
0.954111	|803401.613970
0.954223	|803401.670736
0.954335	|803401.727502
0.954447	|803401.784267
0.954559	|803401.841032
0.954671	|803401.897797
0.954783	|803401.954562
0.954895	|803402.011326
0.955008	|803402.068090
0.955120	|803402.124854
0.955232	|803402.181617
0.955344	|803402.238381
0.955456	|803402.295143
0.955568	|803402.351906
0.955680	|803402.408668
0.955792	|803402.465430
0.955904	|803402.522192
0.956016	|803402.578953
0.956128	|803402.635714
0.956240	|803402.692475
0.956352	|803402.749235
0.956464	|803402.805995
0.956576	|803402.862755
0.956688	|803402.919515
0.956800	|803402.976274
0.956912	|803403.033033
0.957024	|803403.089791
0.957136	|803403.146550
0.957248	|803403.203308
0.957360	|803403.260065
0.957472	|803403.316823
0.957584	|803403.373580
0.957696	|803403.430337
0.957808	|803403.487093
0.957920	|803403.543849
0.958032	|803403.600605
0.958144	|803403.657361
0.958256	|803403.714116
0.958368	|803403.770871
0.958480	|803403.827626
0.958592	|803403.884380
0.958704	|803403.941134
0.958816	|803403.997888
0.958928	|803404.054642
0.959040	|803404.111395
0.959152	|803404.168148
0.959264	|803404.224900
0.959376	|803404.281653
0.959488	|803404.338405
0.959600	|803404.395156
0.959712	|803404.451908
0.959824	|803404.508659
0.959936	|803404.565409
0.960048	|803404.622160
0.960160	|803404.678910
0.960272	|803404.735660
0.960384	|803404.792410
0.960496	|803404.849159
0.960608	|803404.905908
0.960720	|803404.962656
0.960832	|803405.019405
0.960944	|803405.076153
0.961056	|803405.132901
0.961168	|803405.189648
0.961280	|803405.246395
0.961392	|803405.303142
0.961504	|803405.359889
0.961616	|803405.416635
0.961728	|803405.473381
0.961840	|803405.530127
0.961952	|803405.586872
0.962064	|803405.643617
0.962176	|803405.700362
0.962288	|803405.757106
0.962400	|803405.813850
0.962512	|803405.870594
0.962624	|803405.927338
0.962736	|803405.984081
0.962848	|803406.040824
0.962960	|803406.097567
0.963072	|803406.154309
0.963184	|803406.211051
0.963296	|803406.267793
0.963408	|803406.324534
0.963520	|803406.381275
0.963632	|803406.438016
0.963744	|803406.494757
0.963856	|803406.551497
0.963968	|803406.608237
0.964080	|803406.664977
0.964192	|803406.721716
0.964304	|803406.778455
0.964416	|803406.835194
0.964528	|803406.891932
0.964640	|803406.948670
0.964752	|803407.005408
0.964864	|803407.062146
0.964976	|803407.118883
0.965089	|803407.175620
0.965201	|803407.232357
0.965313	|803407.289093
0.965425	|803407.345829
0.965537	|803407.402565
0.965649	|803407.459300
0.965761	|803407.516035
0.965873	|803407.572770
0.965985	|803407.629505
0.966097	|803407.686239
0.966209	|803407.742973
0.966321	|803407.799706
0.966433	|803407.856440
0.966545	|803407.913173
0.966657	|803407.969905
0.966769	|803408.026638
0.966881	|803408.083370
0.966993	|803408.140102
0.967105	|803408.196833
0.967217	|803408.253565
0.967329	|803408.310295
0.967441	|803408.367026
0.967553	|803408.423756
0.967665	|803408.480486
0.967777	|803408.537216
0.967889	|803408.593946
0.968001	|803408.650675
0.968113	|803408.707403
0.968225	|803408.764132
0.968337	|803408.820860
0.968449	|803408.877588
0.968561	|803408.934316
0.968673	|803408.991043
0.968785	|803409.047770
0.968897	|803409.104497
0.969009	|803409.161223
0.969121	|803409.217949
0.969233	|803409.274675
0.969345	|803409.331401
0.969457	|803409.388126
0.969569	|803409.444851
0.969681	|803409.501575
0.969793	|803409.558300
0.969905	|803409.615024
0.970017	|803409.671747
0.970129	|803409.728471
0.970241	|803409.785194
0.970353	|803409.841917
0.970465	|803409.898639
0.970577	|803409.955361
0.970689	|803410.012083
0.970801	|803410.068805
0.970913	|803410.125526
0.971025	|803410.182247
0.971137	|803410.238968
0.971249	|803410.295688
0.971361	|803410.352408
0.971473	|803410.409128
0.971585	|803410.465848
0.971697	|803410.522567
0.971809	|803410.579286
0.971921	|803410.636004
0.972033	|803410.692723
0.972145	|803410.749441
0.972257	|803410.806158
0.972369	|803410.862876
0.972481	|803410.919593
0.972593	|803410.976310
0.972705	|803411.033026
0.972817	|803411.089742
0.972929	|803411.146458
0.973041	|803411.203174
0.973153	|803411.259889
0.973265	|803411.316604
0.973377	|803411.373319
0.973489	|803411.430033
0.973601	|803411.486747
0.973713	|803411.543461
0.973825	|803411.600175
0.973937	|803411.656888
0.974049	|803411.713601
