#z [m]	|p [pa]
0.054549	|802935.444729
0.054661	|802935.504130
0.054773	|802935.563531
0.054885	|802935.622931
0.054997	|802935.682332
0.055110	|802935.741731
0.055222	|802935.801131
0.055334	|802935.860530
0.055446	|802935.919928
0.055558	|802935.979327
0.055670	|802936.038725
0.055782	|802936.098122
0.055894	|802936.157519
0.056006	|802936.216916
0.056118	|802936.276313
0.056230	|802936.335709
0.056342	|802936.395105
0.056454	|802936.454500
0.056566	|802936.513895
0.056678	|802936.573290
0.056790	|802936.632684
0.056902	|802936.692078
0.057014	|802936.751472
0.057126	|802936.810865
0.057238	|802936.870258
0.057350	|802936.929651
0.057462	|802936.989043
0.057574	|802937.048435
0.057686	|802937.107826
0.057798	|802937.167217
0.057910	|802937.226608
0.058022	|802937.285999
0.058134	|802937.345389
0.058246	|802937.404778
0.058358	|802937.464168
0.058470	|802937.523557
0.058582	|802937.582945
0.058694	|802937.642334
0.058806	|802937.701722
0.058918	|802937.761109
0.059030	|802937.820496
0.059142	|802937.879883
0.059254	|802937.939270
0.059366	|802937.998656
0.059478	|802938.058042
0.059590	|802938.117427
0.059702	|802938.176812
0.059814	|802938.236197
0.059926	|802938.295581
0.060038	|802938.354965
0.060150	|802938.414349
0.060262	|802938.473732
0.060374	|802938.533115
0.060486	|802938.592498
0.060598	|802938.651880
0.060710	|802938.711262
0.060822	|802938.770643
0.060934	|802938.830024
0.061046	|802938.889405
0.061158	|802938.948786
0.061270	|802939.008166
0.061382	|802939.067545
0.061494	|802939.126925
0.061606	|802939.186304
0.061718	|802939.245682
0.061830	|802939.305061
0.061942	|802939.364439
0.062054	|802939.423816
0.062166	|802939.483193
0.062278	|802939.542570
0.062390	|802939.601947
0.062502	|802939.661323
0.062614	|802939.720699
0.062726	|802939.780074
0.062838	|802939.839449
0.062950	|802939.898824
0.063062	|802939.958198
0.063174	|802940.017572
0.063286	|802940.076946
0.063398	|802940.136319
0.063510	|802940.195692
0.063622	|802940.255065
0.063734	|802940.314437
0.063846	|802940.373809
0.063958	|802940.433180
0.064070	|802940.492551
0.064182	|802940.551922
0.064294	|802940.611292
0.064406	|802940.670663
0.064518	|802940.730032
0.064630	|802940.789402
0.064742	|802940.848771
0.064854	|802940.908139
0.064966	|802940.967508
0.065079	|802941.026875
0.065191	|802941.086243
0.065303	|802941.145610
0.065415	|802941.204977
0.065527	|802941.264344
0.065639	|802941.323710
